cgebland,lnvgalguz,leeftijd,lftinsz1inclvtt,dichtheid,vggev,vgtaak,vgboete,vgtrans,vggeweld,vgzeden,vgvermg,vgvermgng,vgvernoo,vgopium,vgverkeer,vgoverig,zvermg,zvermgng,zopium,zvernoo,zverkeer,zoverig,zgeweld,dum1120,dum21plus,lft2,rec4
1,0.0,31.50545796,31.50545796,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.37626394,0
1,0.0,22.77891855,22.77891855,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8392114,0
6,0.693147181,24.50684314,24.40312394,0.9518547940000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202.65685009999999,0
1,2.079441542,36.47912389,20.23771922,0.637180824,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.123336302,0
1,1.791759469,38.09189583,18.28377478,0.490194653,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.423419415,0
7,1.098612289,27.20602327,25.60451565,0.8768038459999999,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,133.0926647,0
7,1.791759469,34.72083771,21.77686516,0.59881372,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16.17459361,0
4,0.693147181,39.61656146,21.851641,0.23084827600000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76380393,0
6,0.0,32.48326625,32.48326625,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17929271,0
1,0.0,55.43052704,55.43052704,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.4868189,0
1,1.9459101490000001,21.2238193,16.72395036,1.04447838,0,2,3,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,306.90777149999997,0
1,0.0,34.27723765,34.27723765,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93948493,0
1,0.0,15.65893496,15.65893496,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,532.8557159,0
3,0.693147181,14.9968844,14.54455161,0.8297875790000001,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,563.8591375,0
1,0.693147181,20.90896646,16.87063655,0.44550922299999995,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,318.0385812,0
