sekse,cgebland,lnvgalguz,leeftijd,lftinsz1inclvtt,delcuziv,dichtheid,vggev,vgtaak,vgboete,vgtrans,vggeweld,vgzeden,vgvermg,vgvermgng,vgvernoo,vgopium,vgverkeer,vgoverig,zvermg,zvermgng,zopium,zvernoo,zverkeer,zoverig,zzeden,dum1120,dum21plus,lft2,rec4
0,1,0.0,22.54893908,22.54893908,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,148.15706509999995,1
0,1,0.693147181,56.18856371,46.0752909,1,0.299970821,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,460.8598222,0
0,4,3.988984047,48.31633917,26.47501711,1,0.0,9,1,4,0,2,0,1,41,0,2,0,1,0,0,0,0,0,0,0,0,1,184.8354832,1
0,7,1.945910149,23.8110883,16.38603696,1,0.843896814,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,119.0243791,1
0,1,1.609437912,19.06365503,16.00160649,1,0.992333017,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,245.1498764,1
0,1,0.693147181,56.41067762,55.62612905,1,0.748575852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.4456824,0
0,1,2.944438979,26.37371663,16.22176591,4,0.0,9,1,1,1,5,0,2,12,1,2,0,1,0,1,0,0,0,0,0,1,0,69.67576676,1
0,1,0.0,29.00205339,29.00205339,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.70540977,0
0,1,1.791759469,25.46987829,17.0694055,5,0.729306617,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,85.58173146,1
0,1,0.0,18.9383583,18.9383583,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.0891832,0
1,1,0.0,31.35386721,31.35386721,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33702942,0
1,1,1.386294361,35.7814638,19.38945927,1,0.415322833,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.124757889,0
0,1,0.0,45.78116279,45.78116279,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3290201,0
0,4,0.693147181,44.28199863,33.94934976,1,0.297053233,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91.41426731,0
0,3,3.496507561,38.31482362,13.27857632,1,0.0,12,1,2,0,10,1,2,12,6,0,1,2,0,0,0,0,0,0,0,0,1,12.91615932,0
0,1,1.098612289,24.20533881,16.29296886,1,0.4737163720000001,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.5774008,0
0,1,0.693147181,17.13031282,15.77823409,1,0.65203975,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,309.4293822,0
0,5,0.0,31.33470226,31.33470226,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11.46645546,0
0,5,1.609437912,30.57405246,23.87132101,1,0.720622167,0,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,17.19649184,0
0,1,0.0,60.78850103,60.78850103,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.5188971,0
0,4,2.890371758,32.02737851,16.44353183,1,0.0,3,1,5,0,4,1,2,6,1,0,0,4,0,1,0,0,0,0,0,1,0,7.255153735,1
0,7,0.693147181,36.75290897,29.94387406,1,0.357850244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.128988239,0
0,1,1.098612289,26.04517454,15.86437397,1,0.422939792,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.26852056,0
0,1,2.197224577,20.23545517,12.99860772,1,0.985517822,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,209.8286267,1
0,1,0.0,41.14715948,41.14715948,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.29658256,0
0,5,1.098612289,44.36413415,28.46817248,1,0.344051567,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.99162232,0
0,4,0.693147181,52.39473873,23.14579055,1,0.181821343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.3639475,0
0,1,3.17805383,53.01344827,21.92197125,5,0.0,8,0,7,0,0,0,0,6,4,0,3,1,0,0,0,1,0,0,0,0,1,334.6166721,1
0,1,0.693147181,41.45383020000001,18.08468603,1,0.202572208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.33210988,0
0,1,0.0,28.64339493,28.64339493,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.93628376,0
0,1,2.397895273,24.65982204,15.64551021,6,0.999285176,1,0,4,1,1,0,0,6,1,0,2,0,0,0,1,0,0,1,0,0,0,101.2256472,0
0,1,0.0,24.24421601,24.24421601,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.7612798,0
1,1,0.693147181,47.22309257,46.23959328,1,0.710041898,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156.3043748,0
0,1,1.098612289,18.9431896,13.65366188,4,0.563905045,2,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,248.9367062,0
0,2,2.564949357,39.13538295,18.61479574,1,0.0,0,0,4,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,19.48750287,0
0,1,1.609437912,21.03866485,15.33179592,2,0.7722716390000001,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,187.2040447,0
0,1,0.0,19.79466119,19.79466119,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7931353,0
0,1,1.386294361,25.70415887,17.58809602,1,0.573663175,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,81.30194096,0
0,1,1.609437912,23.29089665,17.4017796,1,0.761988144,0,1,0,1,1,0,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,130.6453828,1
0,4,0.0,42.72030379,42.72030379,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99017682,0
0,6,1.791759469,39.68788501,20.72279261,1,0.500436917,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,24.67076361,0
0,1,0.0,25.32398053,25.32398053,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.30242940000002,0
0,4,1.791759469,38.9860831,16.8843258,4,0.46522441,0,0,2,0,0,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,18.19163532,0
0,1,0.0,18.83367556,18.83367556,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.4044648,0
0,6,0.0,30.80333308,30.80333308,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.34746977,0
0,1,0.693147181,19.42338308,16.31373454,1,0.493284715,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234.0145674,0
0,3,1.609437912,45.03624541,27.76981345,1,0.467953968,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,106.4059843,0
0,1,0.0,34.24941589,34.24941589,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222314016,0
0,5,1.945910149,23.16507615,16.60499119,1,0.8908658009999999,0,1,1,4,1,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,133.5374755,1
0,1,1.098612289,20.09034908,14.50315918,1,0.551016883,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,214.0535402,0
0,4,4.718498871,49.68311611,21.96851472,1,0.0,18,2,2,0,1,0,3,94,5,6,0,0,0,0,0,0,0,0,0,0,1,223.8673793,1
0,4,2.564949357,32.58755599,20.96481028,1,0.0,4,2,2,1,1,0,1,9,0,0,2,0,0,0,0,0,0,0,0,1,0,4.551232455,1
0,1,1.791759469,22.39700468,14.24340736,1,0.7390760009999999,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,151.87883369999997,0
1,1,0.693147181,50.68583162,27.67967146,1,0.204097954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8784744,0
0,1,1.098612289,30.84039487,23.26347438,1,0.482891216,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.05845798,1
0,2,2.397895273,19.32328523,14.65571526,1,1.328316462,2,2,1,0,3,0,5,1,3,1,0,0,0,0,0,0,0,1,0,0,0,237.0870877,1
